"","Indx","Call_ContractID","Call_Bid","Call_Ask","Call_Vol","Call_OI","Call_PrChg","Call_PrChgPct","Call_LastTrTime","Call_LastPr","Call_ImplVol","Call_ITM","Strike","Put_ITM","Put_ImplVol","Put_LastPr","Put_LastTrTime","Put_PrChgPct","Put_PrChg","Put_OI","Put_Vol","Put_Ask","Put_Bid","Put_ContractID"
"1",1,"SPXW230616C00200000",3933.6,3939.8,1,151,0,0,2023-04-13 14:00:26,3928.95,2.96191665771484,TRUE,200,FALSE,0.500005,0.05,2023-04-06 10:41:11,0,0,993,1,0,0,"SPX230616P00200000"
"2",2,"SPXW230616C00400000",3735.4,3741.5,4,80,0,0,2023-03-30 10:03:22,3642.86,2.01953620117188,TRUE,400,FALSE,1.61328318359375,0.03,2023-03-16 12:23:50,0,0,9876,250,0.1,0,"SPX230616P00400000"
"3",3,"SPX230616C00600000",3306.7,3319.9,1,1,0,0,2022-12-19 16:01:06,3200.07,1e-05,TRUE,600,FALSE,1.328128359375,0.05,2023-03-27 12:23:26,0,0,5497,30,0.1,0,"SPX230616P00600000"
"4",4,"SPX230616C00800000",3092,3104.5,1,81,0,0,2022-12-20 11:35:59,3000.5,1e-05,TRUE,800,FALSE,1.1328168359375,0.05,2023-03-27 12:23:53,0,0,850,350,0.1,0,"SPXW230616P00800000"
"5",5,"SPX230616C01000000",3140.8,3146.8,110,26493,0,0,2023-04-13 15:46:33,3147.62,1.55340799468994,TRUE,1000,FALSE,0.9804689453125,0.1,2023-04-05 12:40:19,0,0,181,13,0.1,0,"SPXW230616P01000000"
"6",6,"SPX230616C01100000",2985.9,2992.3,55,11487,0,0,2023-03-13 13:02:08,2757.58,1e-05,TRUE,1100,FALSE,0.91601646484375,0.1,2023-04-03 16:05:47,0,0,9340,2,0.1,0,"SPX230616P01100000"
"7",7,"SPXW230616C01200000",2942.6,2948.7,2,24,0,0,2023-03-31 09:36:46,2866.21,1.41314990692139,TRUE,1200,FALSE,0.88086056640625,0.1,2023-04-10 11:00:01,0,0,23757,3,0.15,0,"SPX230616P01200000"
"8",8,"SPX230616C01300000",2681.3,2716.1,2500,11432,0,0,2022-12-15 14:31:26,2587.35,1e-05,TRUE,1300,FALSE,0.500005,0.1,2023-04-14 10:48:00,0,0,16849,48,0,0,"SPX230616P01300000"
"9",9,"SPX230616C01400000",2626.6,2630.8,1,4,0,0,2023-02-27 15:38:00,2577.02,1e-05,TRUE,1400,FALSE,0.803712900390625,0.1,2023-04-14 09:53:56,-33.333336,-0.050000004,359,100,0.2,0.05,"SPXW230616P01400000"
"10",10,"SPX230616C01500000",2645.3,2651.4,6,20,0,0,2023-03-28 09:40:09,2472.67,1.22522360046387,TRUE,1500,FALSE,0.754885263671875,0.25,2023-04-06 09:53:51,0,0,1174,15,0.2,0.05,"SPXW230616P01500000"
